time,data,fit
9.8074,30.3095,34.0608
10.0206,34.0476,34.0608
10.2338,35.6190,34.0608
10.4470,35.8571,34.0608
10.6602,36.3333,34.0608
10.8734,36.2857,34.0608
11.0866,32.2381,34.0608
11.2998,33.0476,34.0608
11.5130,32.8095,34.0608
11.7262,38.6667,40.0571
11.9394,43.2857,40.0571
12.1526,46.1905,40.0571
12.3658,37.8571,40.0571
12.5790,34.2857,40.0571
12.7922,27.9048,30.5824
13.0054,27.6190,30.5824
13.2187,29.1905,30.5824
13.4319,30.7143,30.5824
13.6451,32.2857,30.5824
13.8583,31.7619,30.5824
14.0715,32.0000,30.5824
14.2847,28.7619,30.5824
14.4979,29.1905,30.5824
14.7111,26.5238,30.5824
14.9243,32.3810,30.5824
15.1375,32.2381,30.5824
15.3507,37.0000,30.5824
15.5639,44.1905,46.1020
15.7771,48.7619,46.1020
15.9903,49.8095,46.1020
16.2035,49.6190,46.1020
16.4167,43.2381,46.1020
16.6299,43.6190,46.1020
16.8431,43.4762,46.1020
17.0563,41.4286,38.2857
17.2695,41.3333,38.2857
17.4827,36.4762,38.2857
17.6959,36.7619,38.2857
17.9091,38.9524,38.2857
18.1223,34.7619,38.2857
18.3356,30.8571,26.6389
18.5488,27.1429,26.6389
18.7620,21.3333,26.6389
18.9752,22.8095,26.6389
19.1884,25.1429,26.6389
19.4016,26.2381,26.6389
19.6148,28.1429,26.6389
19.8280,30.5238,26.6389
20.0412,29.1429,26.6389
20.2544,28.4286,26.6389
20.4676,25.0476,26.6389
20.6808,24.8571,26.6389
20.8940,31.3810,34.8333
21.1072,38.2857,34.8333
21.3204,48.5238,48.9456
21.5336,52.0000,48.9456
21.7468,49.5238,48.9456
21.9600,47.6190,48.9456
22.1732,50.5714,48.9456
22.3864,46.5714,48.9456
22.5996,47.8095,48.9456
22.8128,42.9048,41.9320
23.0260,38.7619,41.9320
23.2392,39.2857,41.9320
23.4524,46.2381,41.9320
23.6657,47.5714,41.9320
23.8789,42.7619,41.9320
24.0921,36.0000,41.9320
24.3053,28.2857,29.4782
24.5185,21.8571,29.4782
24.7317,28.9524,29.4782
24.9449,31.7143,29.4782
25.1581,30.4286,29.4782
25.3713,29.4286,29.4782
25.5845,27.3333,29.4782
25.7977,24.9524,29.4782
26.0109,29.0000,29.4782
26.2241,29.8571,29.4782
26.4373,25.7619,29.4782
26.6505,27.7143,29.4782
26.8637,31.4286,29.4782
27.0769,28.8571,29.4782
27.2901,32.4762,29.4782
27.5033,37.1905,29.4782
27.7165,32.7619,29.4782
27.9297,35.9524,29.4782
28.1429,36.6190,29.4782
28.3561,26.9048,29.4782
28.5693,27.8095,29.4782
28.7826,28.5714,29.4782
28.9958,28.4286,29.4782
29.2090,30.2381,29.4782
29.4222,31.2381,29.4782
29.6354,28.0952,29.4782
29.8486,29.0000,29.4782
30.0618,31.1905,29.4782
30.2750,31.8571,29.4782
30.4882,28.8095,29.4782
30.7014,24.1429,29.4782
30.9146,27.9524,29.4782
31.1278,32.6190,29.4782
31.3410,36.3333,29.4782
31.5542,35.9524,29.4782
31.7674,33.7143,29.4782
31.9806,26.3810,29.4782
32.1938,29.2381,29.4782
32.4070,26.9048,29.4782
32.6202,22.7619,29.4782
32.8334,25.1905,29.4782
33.0466,28.0000,29.4782
33.2598,25.4286,29.4782
33.4730,30.1905,29.4782
33.6862,27.1429,29.4782
33.8994,27.1429,29.4782
34.1127,33.6667,29.4782
34.3259,38.8095,45.2275
34.5391,42.6190,45.2275
34.7523,51.9524,45.2275
34.9655,49.7619,45.2275
35.1787,49.4286,45.2275
35.3919,48.2381,45.2275
35.6051,46.1905,45.2275
35.8183,41.7143,45.2275
36.0315,38.3333,45.2275
36.2447,29.5714,29.6280
36.4579,24.9048,29.6280
36.6711,24.9524,29.6280
36.8843,29.2381,29.6280
37.0975,30.9048,29.6280
37.3107,32.3333,29.6280
37.5239,30.3810,29.6280
37.7371,30.2857,29.6280
37.9503,28.0476,29.6280
38.1635,31.7143,29.6280
38.3767,29.9524,29.6280
38.5899,29.0952,29.6280
38.8031,31.2381,29.6280
39.0163,31.7143,29.6280
39.2296,28.5238,29.6280
39.4428,31.1905,29.6280
39.6560,25.5714,23.5048
39.8692,22.6667,23.5048
40.0824,23.7143,23.5048
40.2956,23.8571,23.5048
40.5088,23.3333,23.5048
40.7220,25.9524,23.5048
40.9352,22.0000,23.5048
41.1484,21.1905,23.5048
41.3616,22.7619,23.5048
41.5748,24.0000,23.5048
41.7880,26.4286,28.0675
42.0012,27.9524,28.0675
42.2144,27.5238,28.0675
42.4276,28.9048,28.0675
42.6408,32.3333,28.0675
42.8540,29.1905,28.0675
43.0672,29.5238,28.0675
43.2804,28.8095,28.0675
43.4936,26.1429,28.0675
43.7068,24.6190,28.0675
43.9200,26.9524,28.0675
44.1332,28.4286,28.0675
44.3464,29.8095,29.5762
44.5597,31.3810,29.5762
44.7729,31.2857,29.5762
44.9861,31.0000,29.5762
45.1993,30.1429,29.5762
45.4125,31.0476,29.5762
45.6257,30.3333,29.5762
45.8389,30.7143,29.5762
46.0521,32.4762,29.5762
46.2653,30.2381,29.5762
46.4785,26.3810,29.5762
46.6917,26.6190,29.5762
46.9049,30.3810,29.5762
47.1181,30.6190,29.5762
47.3313,32.8095,29.5762
47.5445,31.1429,29.5762
47.7577,27.5714,29.5762
47.9709,22.6667,29.5762
48.1841,25.6190,29.5762
48.3973,29.2857,29.5762
48.6105,38.0952,47.4857
48.8237,47.6190,47.4857
49.0369,55.6190,47.4857
49.2501,50.4762,47.4857
49.4633,45.6190,47.4857
49.6766,38.9524,32.4087
49.8898,30.0952,32.4087
50.1030,27.4286,32.4087
50.3162,31.4286,32.4087
50.5294,29.7619,32.4087
50.7426,30.1429,32.4087
50.9558,32.8095,32.4087
51.1690,30.6190,32.4087
51.3822,35.0000,32.4087
51.5954,36.6667,32.4087
51.8086,33.8571,32.4087
52.0218,32.1429,32.4087
52.2350,31.0000,27.5365
52.4482,30.8571,27.5365
52.6614,30.7619,27.5365
52.8746,29.4762,27.5365
53.0878,26.9524,27.5365
53.3010,24.0476,27.5365
53.5142,22.8095,27.5365
53.7274,25.7143,27.5365
53.9406,26.3333,27.5365
54.1538,30.0952,27.5365
54.3670,31.2857,27.5365
54.5802,29.1905,27.5365
54.7934,25.3333,27.5365
55.0067,23.6667,27.5365
55.2199,25.5238,27.5365
55.4331,34.9524,38.2024
55.6463,38.6190,38.2024
55.8595,40.8095,38.2024
56.0727,38.4286,38.2024
56.2859,33.3810,26.8611
56.4991,28.7619,26.8611
56.7123,31.2381,26.8611
56.9255,26.6667,26.8611
57.1387,26.3810,26.8611
57.3519,28.2381,26.8611
57.5651,26.3333,26.8611
57.7783,23.4286,26.8611
57.9915,24.2381,26.8611
58.2047,21.5238,26.8611
58.4179,23.7619,26.8611
58.6311,28.3810,26.8611
58.8443,32.4762,32.4454
59.0575,32.8571,32.4454
59.2707,34.1429,32.4454
59.4839,31.4762,32.4454
59.6971,30.7143,32.4454
59.9103,30.6667,32.4454
60.1236,33.3810,32.4454
60.3368,31.3810,32.4454
60.5500,33.7143,32.4454
60.7632,34.5238,32.4454
60.9764,32.3333,32.4454
61.1896,31.6190,32.4454
61.4028,31.8571,32.4454
61.6160,30.2381,32.4454
61.8292,33.9524,32.4454
62.0424,35.1429,32.4454
62.2556,31.0952,32.4454
62.4688,25.6190,26.7755
62.6820,25.4762,26.7755
62.8952,26.2381,26.7755
63.1084,26.0952,26.7755
63.3216,28.1905,26.7755
63.5348,27.4286,26.7755
63.7480,28.3810,26.7755
63.9612,36.9524,40.0317
64.1744,42.0952,40.0317
64.3876,41.0476,40.0317
64.6008,51.8095,54.1667
64.8140,56.5238,54.1667
65.0272,64.8571,66.1837
65.2404,68.8571,66.1837
65.4537,64.9048,66.1837
65.6669,63.8095,66.1837
65.8801,68.0952,66.1837
66.0933,67.4286,66.1837
66.3065,65.3333,66.1837
66.5197,54.7619,48.4683
66.7329,43.5714,48.4683
66.9461,42.3810,48.4683
67.1593,41.5238,48.4683
67.3725,45.9048,48.4683
67.5857,47.9048,48.4683
67.7989,49.7143,48.4683
68.0121,50.7143,48.4683
68.2253,53.3810,48.4683
68.4385,49.6190,48.4683
68.6517,51.1905,48.4683
68.8649,50.9524,48.4683
69.0781,61.0952,60.8571
69.2913,62.9524,60.8571
69.5045,61.9524,60.8571
69.7177,57.2381,60.8571
69.9309,59.8095,60.8571
70.1441,58.2857,60.8571
70.3573,65.8095,60.8571
70.5706,61.5714,60.8571
70.7838,58.2857,60.8571
70.9970,61.9048,60.8571
71.2102,63.8571,60.8571
71.4234,57.5238,60.8571
71.6366,54.1905,52.7321
71.8498,47.8095,52.7321
72.0630,52.7143,52.7321
72.2762,54.3333,52.7321
72.4894,51.6667,52.7321
72.7026,55.8095,52.7321
72.9158,55.7619,52.7321
73.1290,49.5714,52.7321
73.3422,48.6190,41.6548
73.5554,37.9524,41.6548
73.7686,35.1905,41.6548
73.9818,44.8571,41.6548
74.1950,52.5238,52.1905
74.4082,53.9048,52.1905
74.6214,50.1429,52.1905
74.8346,39.3810,36.3905
75.0478,36.2381,36.3905
75.2610,36.0952,36.3905
75.4742,35.6190,36.3905
75.6874,34.6190,36.3905
75.9007,31.6667,26.6898
76.1139,22.9048,26.6898
76.3271,24.2857,26.6898
76.5403,28.5238,26.6898
76.7535,28.2381,26.6898
76.9667,27.3810,26.6898
77.1799,27.0000,26.6898
77.3931,22.8571,26.6898
77.6063,24.3333,26.6898
77.8195,26.0952,26.6898
78.0327,24.4762,26.6898
78.2459,21.7143,26.6898
78.4591,24.7619,26.6898
78.6723,26.7143,26.6898
78.8855,28.5714,26.6898
79.0987,27.4762,26.6898
79.3119,24.0952,26.6898
79.5251,24.8095,26.6898
79.7383,29.1905,26.6898
79.9515,30.0000,26.6898
80.1647,32.6667,26.6898
80.3779,28.7143,26.6898
80.5911,23.7619,26.6898
80.8043,22.5714,26.6898
81.0176,24.4286,26.6898
81.2308,25.3810,26.6898
81.4440,28.5238,26.6898
81.6572,30.3333,26.6898
81.8704,30.7619,26.6898
82.0836,28.4286,26.6898
82.2968,26.8571,26.6898
82.5100,26.5238,26.6898
82.7232,26.7143,26.6898
82.9364,31.0476,35.7024
83.1496,36.8095,35.7024
83.3628,38.9048,35.7024
83.5760,36.0476,35.7024
83.7892,31.1429,26.3810
84.0024,26.2381,26.3810
84.2156,23.0476,26.3810
84.4288,23.7143,26.3810
84.6420,27.7619,26.3810
84.8552,31.2857,31.3004
85.0684,28.7143,31.3004
85.2816,35.0476,31.3004
85.4948,35.3333,31.3004
85.7080,34.8095,31.3004
85.9212,33.8571,31.3004
86.1344,30.0476,31.3004
86.3477,24.7619,31.3004
86.5609,29.2857,31.3004
86.7741,27.5714,31.3004
86.9873,30.4286,31.3004
87.2005,32.0000,31.3004
87.4137,33.7619,31.3004
87.6269,37.4762,40.5714
87.8401,37.5714,40.5714
88.0533,37.5238,40.5714
88.2665,43.8571,40.5714
88.4797,43.8095,40.5714
88.6929,42.5238,40.5714
88.9061,43.8095,40.5714
89.1193,38.0000,40.5714
89.3325,34.5714,33.0556
89.5457,36.3810,33.0556
89.7589,33.2381,33.0556
89.9721,29.5238,33.0556
90.1853,32.7619,33.0556
90.3985,31.8571,33.0556
90.6117,28.7143,27.0000
90.8249,26.2857,27.0000
91.0381,26.7619,27.0000
91.2513,25.0952,27.0000
91.4646,25.0000,27.0000
91.6778,25.7143,27.0000
91.8910,27.6667,27.0000
92.1042,30.7619,27.0000
92.3174,36.1429,38.5092
92.5306,37.0476,38.5092
92.7438,35.1429,38.5092
92.9570,34.3810,38.5092
93.1702,37.2857,38.5092
93.3834,38.3333,38.5092
93.5966,42.4286,38.5092
93.8098,41.0952,38.5092
94.0230,39.5714,38.5092
94.2362,38.3810,38.5092
94.4494,41.1905,38.5092
94.6626,38.5714,38.5092
94.8758,41.0476,38.5092
95.0890,35.8095,34.0741
95.3022,32.4762,34.0741
95.5154,32.0476,34.0741
95.7286,34.0476,34.0741
95.9418,31.2857,34.0741
96.1550,33.7619,34.0741
96.3682,35.1905,34.0741
96.5814,36.1429,34.0741
96.7947,35.9048,34.0741
97.0079,30.9524,27.8363
97.2211,27.3333,27.8363
97.4343,24.5714,27.8363
97.6475,27.6190,27.8363
97.8607,29.8095,27.8363
98.0739,28.3333,27.8363
98.2871,24.8095,27.8363
98.5003,26.5238,27.8363
98.7135,24.3810,27.8363
98.9267,26.7143,27.8363
99.1399,32.3810,27.8363
99.3531,30.0476,27.8363
99.5663,31.8571,27.8363
99.7795,30.5714,27.8363
99.9927,26.3810,27.8363
100.2059,23.7619,27.8363
100.4191,24.4762,27.8363
100.6323,21.3333,27.8363
100.8455,25.6667,27.8363
101.0587,27.0000,27.8363
101.2719,29.1429,27.8363
101.4851,29.3810,27.8363
101.6983,28.3333,27.8363
101.9116,29.5714,27.8363
102.1248,26.8095,27.8363
102.3380,29.3810,27.8363
102.5512,31.0476,27.8363
102.7644,31.5714,27.8363
102.9776,29.4762,27.8363
103.1908,28.5238,27.8363
103.4040,25.3810,27.8363
103.6172,27.6190,27.8363
103.8304,31.0476,34.1701
104.0436,36.1429,34.1701
104.2568,33.7619,34.1701
104.4700,35.5714,34.1701
104.6832,35.6190,34.1701
104.8964,34.0952,34.1701
105.1096,32.9524,34.1701
105.3228,31.4286,29.5616
105.5360,27.3333,29.5616
105.7492,30.3810,29.5616
105.9624,28.6667,29.5616
106.1756,30.2857,29.5616
106.3888,31.1905,29.5616
106.6020,31.5238,29.5616
106.8152,30.8095,29.5616
107.0284,30.4762,29.5616
107.2417,25.5714,29.5616
107.4549,23.9048,29.5616
107.6681,25.1905,29.5616
107.8813,26.7143,29.5616
108.0945,29.0476,29.5616
108.3077,32.5238,29.5616
108.5209,30.7619,29.5616
108.7341,28.8095,29.5616
108.9473,29.8571,29.5616
109.1605,29.0952,29.5616
109.3737,29.1905,29.5616
109.5869,31.4762,29.5616
109.8001,30.4762,29.5616
110.0133,30.3333,29.5616
110.2265,31.1905,29.5616
110.4397,32.5714,29.5616
110.6529,31.4286,29.5616
110.8661,30.6667,29.5616
111.0793,30.1429,29.5616
111.2925,28.3810,29.5616
111.5057,27.9048,29.5616
111.7189,31.9048,29.5616
111.9321,31.1905,29.5616
112.1453,28.4762,29.5616
112.3586,26.1905,29.5616
112.5718,32.5238,36.4381
112.7850,35.7619,36.4381
112.9982,41.5714,36.4381
113.2114,38.1429,36.4381
113.4246,34.1905,36.4381
113.6378,30.0000,30.5417
113.8510,32.7619,30.5417
114.0642,32.3333,30.5417
114.2774,31.6190,30.5417
114.4906,25.0476,30.5417
114.7038,26.9524,30.5417
114.9170,32.9048,30.5417
115.1302,32.7143,30.5417
115.3434,35.7619,36.6548
115.5566,37.5714,36.6548
115.7698,34.9048,36.6548
115.9830,38.3810,36.6548
116.1962,45.9048,46.2083
116.4094,46.2857,46.2083
116.6226,47.0476,46.2083
116.8358,50.5714,46.2083
117.0490,49.4286,46.2083
117.2622,47.7619,46.2083
117.4754,42.9524,46.2083
117.6887,39.7143,46.2083
117.9019,35.9048,33.7604
118.1151,37.0476,33.7604
118.3283,32.2381,33.7604
118.5415,28.4286,33.7604
118.7547,26.0000,33.7604
118.9679,26.9048,33.7604
119.1811,30.3333,33.7604
119.3943,35.5714,33.7604
119.6075,34.7143,33.7604
119.8207,37.6190,33.7604
120.0339,38.0952,33.7604
120.2471,38.5238,33.7604
120.4603,39.8571,33.7604
120.6735,39.0000,33.7604
120.8867,34.6429,33.7604
121.0999,25.2857,33.7604
